money,設計相關,教育相關,金融保險相關,餐飲相關,電機資訊相關,醫療相關,公職軍警相關,製造零售相關,運輸貿易相關,營造工程相關,法律相關,會計服務相關,其他（請於下題自填）,所有行業
22000-29999,2,3,5,4,4,2,0,8,0,1,0,3,13,39
30000-44999,8,4,5,8,8,7,1,6,3,0,2,2,6,60
45000-54999,0,0,3,1,2,0,0,4,2,0,0,1,0,15
55000-64999,2,4,1,0,1,1,2,1,0,1,1,0,0,14
65000以上,2,4,9,1,6,0,3,2,2,1,0,2,2,34
